time,x_fork,y_fork,z_fork,qx_fork,qy_fork,qz_fork,qw_fork,x_knife,y_knife,z_knife,qx_knife,qy_knife,qz_knife,qw_knife,x_fork_f,y_fork_f,z_fork_f,x_knife_f,y_knife_f,z_knife_f
0.000000000000000000e+00,1.647283732891082764e-01,2.003608085215091705e-02,-1.105802282691001892e-01,-8.881147205829620361e-02,3.587392866611480713e-01,6.854498386383056641e-01,6.273573637008666992e-01,8.530404567718505859e-01,4.134866967797279358e-02,-2.095259912312030792e-02,1.862844377756118774e-01,-4.373715817928314209e-01,-6.474112868309020996e-01,5.957037210464477539e-01,2.400000000000000050e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-5.000000000000000104e-03,-2.299999999999999961e-02,5.800000000000000294e-02
9.891986846923828125e-03,1.647015661001205444e-01,2.005406282842159271e-02,-1.106907874345779419e-01,-8.832903951406478882e-02,3.587384521961212158e-01,6.857442259788513184e-01,6.271041035652160645e-01,8.528795242309570312e-01,4.157797619700431824e-02,-2.091010101139545441e-02,1.869349479675292969e-01,-4.362931847572326660e-01,-6.464276909828186035e-01,5.973564982414245605e-01,2.400000000000000050e-02,-1.549999999999999989e-01,2.800000000000000058e-02,-3.000000000000000062e-03,-2.199999999999999872e-02,5.800000000000000294e-02
2.012944221496582031e-02,1.646999716758728027e-01,2.004000730812549591e-02,-1.106701716780662537e-01,-8.872155100107192993e-02,3.582164645195007324e-01,6.858714222908020020e-01,6.272080540657043457e-01,8.527271747589111328e-01,4.177727922797203064e-02,-2.083525434136390686e-02,1.857191324234008789e-01,-4.359099566936492920e-01,-6.457256674766540527e-01,5.987731218338012695e-01,2.500000000000000139e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-2.000000000000000042e-03,-2.199999999999999872e-02,5.800000000000000294e-02
3.003931045532226562e-02,1.647031903266906738e-01,2.008184790611267090e-02,-1.107622087001800537e-01,-8.760210871696472168e-02,3.588649332523345947e-01,6.853653788566589355e-01,6.275476813316345215e-01,8.525511622428894043e-01,4.189889132976531982e-02,-2.064193598926067352e-02,1.898613721132278442e-01,-4.327187836170196533e-01,-6.436910629272460938e-01,6.019709706306457520e-01,2.400000000000000050e-02,-1.549999999999999989e-01,2.699999999999999969e-02,-2.000000000000000042e-03,-2.199999999999999872e-02,5.700000000000000205e-02
4.000735282897949219e-02,1.646705567836761475e-01,2.001934498548507690e-02,-1.106178984045982361e-01,-8.918122202157974243e-02,3.584069609642028809e-01,6.855365633964538574e-01,6.274001002311706543e-01,8.525000810623168945e-01,4.210855439305305481e-02,-2.040333673357963562e-02,1.878076195716857910e-01,-4.340101778507232666e-01,-6.448224186897277832e-01,6.004728674888610840e-01,2.400000000000000050e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-3.000000000000000062e-03,-2.400000000000000050e-02,5.700000000000000205e-02
5.012440681457519531e-02,1.646600514650344849e-01,2.000360563397407532e-02,-1.106782928109169006e-01,-8.868671953678131104e-02,3.583771884441375732e-01,6.857120990753173828e-01,6.272952556610107422e-01,8.524633646011352539e-01,4.246031120419502258e-02,-2.039074525237083435e-02,1.916037052869796753e-01,-4.314282834529876709e-01,-6.448634862899780273e-01,6.010895967483520508e-01,2.400000000000000050e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-3.000000000000000062e-03,-2.299999999999999961e-02,5.800000000000000294e-02
6.006455421447753906e-02,1.646717041730880737e-01,1.997761614620685577e-02,-1.106285676360130310e-01,-8.899565786123275757e-02,3.587578237056732178e-01,6.855947375297546387e-01,6.271623373031616211e-01,8.521458506584167480e-01,4.245081171393394470e-02,-2.015004307031631470e-02,1.935459077358245850e-01,-4.281714856624603271e-01,-6.444414258003234863e-01,6.032449007034301758e-01,2.299999999999999961e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-3.000000000000000062e-03,-2.299999999999999961e-02,5.700000000000000205e-02
6.997466087341308594e-02,1.646953821182250977e-01,2.002260088920593262e-02,-1.106600984930992126e-01,-8.884165436029434204e-02,3.580766618251800537e-01,6.858710646629333496e-01,6.272712945938110352e-01,8.516654372215270996e-01,4.209491983056068420e-02,-2.002158202230930328e-02,1.989932209253311157e-01,-4.276024401187896729e-01,-6.443548798561096191e-01,6.019673943519592285e-01,2.400000000000000050e-02,-1.529999999999999971e-01,2.699999999999999969e-02,-4.000000000000000083e-03,-2.299999999999999961e-02,5.600000000000000117e-02
8.005285263061523438e-02,1.646840572357177734e-01,2.000793814659118652e-02,-1.106479018926620483e-01,-8.886686712503433228e-02,3.584024310111999512e-01,6.857529878616333008e-01,6.272107362747192383e-01,8.514640331268310547e-01,4.227338731288909912e-02,-1.984780095517635345e-02,2.008481025695800781e-01,-4.266640841960906982e-01,-6.440579891204833984e-01,6.023346781730651855e-01,2.400000000000000050e-02,-1.539999999999999980e-01,2.599999999999999881e-02,-4.000000000000000083e-03,-2.400000000000000050e-02,5.600000000000000117e-02
9.003639221191406250e-02,1.646583527326583862e-01,1.999284699559211731e-02,-1.106443405151367188e-01,-8.893434703350067139e-02,3.582121431827545166e-01,6.857322454452514648e-01,6.273325085639953613e-01,8.514548540115356445e-01,4.253949224948883057e-02,-1.959661021828651428e-02,1.981294304132461548e-01,-4.234394133090972900e-01,-6.436392068862915039e-01,6.059474945068359375e-01,2.500000000000000139e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-5.000000000000000104e-03,-2.400000000000000050e-02,5.500000000000000028e-02
1.001281738281250000e-01,1.646562367677688599e-01,2.000453509390354156e-02,-1.106665953993797302e-01,-8.865609765052795410e-02,3.585349321365356445e-01,6.855284571647644043e-01,6.274101734161376953e-01,8.513579368591308594e-01,4.245456308126449585e-02,-1.925194263458251953e-02,2.021857202053070068e-01,-4.237017631530761719e-01,-6.420645117759704590e-01,6.060948967933654785e-01,2.500000000000000139e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-5.000000000000000104e-03,-2.400000000000000050e-02,5.500000000000000028e-02
1.100971698760986328e-01,1.647106856107711792e-01,2.005873620510101318e-02,-1.106633618474006653e-01,-8.878133445978164673e-02,3.582362830638885498e-01,6.857870221138000488e-01,6.272805333137512207e-01,8.509135842323303223e-01,4.140544682741165161e-02,-1.917717978358268738e-02,2.225562185049057007e-01,-4.079251587390899658e-01,-6.353904604911804199e-01,6.167210340499877930e-01,2.500000000000000139e-02,-1.549999999999999989e-01,2.699999999999999969e-02,-3.000000000000000062e-03,-2.400000000000000050e-02,5.500000000000000028e-02
1.200647354125976562e-01,1.646986901760101318e-01,2.005214430391788483e-02,-1.106366068124771118e-01,-8.880916237831115723e-02,3.583495020866394043e-01,6.857628822326660156e-01,6.272383332252502441e-01,8.512392640113830566e-01,4.097573831677436829e-02,-1.888796687126159668e-02,2.278950512409210205e-01,-4.069335460662841797e-01,-6.286733746528625488e-01,6.222851872444152832e-01,2.599999999999999881e-02,-1.529999999999999971e-01,2.699999999999999969e-02,-4.000000000000000083e-03,-2.500000000000000139e-02,5.500000000000000028e-02
1.300003528594970703e-01,1.646889597177505493e-01,2.004676125943660736e-02,-1.106927469372749329e-01,-8.840768039226531982e-02,3.584708869457244873e-01,6.857432126998901367e-01,6.272471547126770020e-01,8.507632017135620117e-01,4.082575067877769470e-02,-1.844514533877372742e-02,2.307080477476119995e-01,-4.096405506134033203e-01,-6.273583769798278809e-01,6.207978725433349609e-01,2.500000000000000139e-02,-1.529999999999999971e-01,2.699999999999999969e-02,-4.000000000000000083e-03,-2.400000000000000050e-02,5.500000000000000028e-02
1.399667263031005859e-01,1.646571308374404907e-01,2.002311684191226959e-02,-1.106645241379737854e-01,-8.845371007919311523e-02,3.584210872650146484e-01,6.857566237449645996e-01,6.272544264793395996e-01,8.508580327033996582e-01,4.092908278107643127e-02,-1.793232560157775879e-02,2.325046956539154053e-01,-4.066403508186340332e-01,-6.259275078773498535e-01,6.235383749008178711e-01,2.599999999999999881e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-5.000000000000000104e-03,-2.500000000000000139e-02,5.399999999999999939e-02
1.500763893127441406e-01,1.646603196859359741e-01,2.002212591469287872e-02,-1.106608882546424866e-01,-8.850426971912384033e-02,3.582890033721923828e-01,6.856707334518432617e-01,6.274166703224182129e-01,8.505908250808715820e-01,4.100698232650756836e-02,-1.765636913478374481e-02,2.357097864151000977e-01,-4.045989513397216797e-01,-6.256710290908813477e-01,6.239201426506042480e-01,2.500000000000000139e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-3.000000000000000062e-03,-2.400000000000000050e-02,5.399999999999999939e-02
1.599862575531005859e-01,1.646636128425598145e-01,2.002940140664577484e-02,-1.106728538870811462e-01,-8.847994357347488403e-02,3.588402271270751953e-01,6.853910088539123535e-01,6.274107098579406738e-01,8.502884507179260254e-01,4.243578389286994934e-02,-1.667100191116333008e-02,2.305269241333007812e-01,-3.990567028522491455e-01,-6.278253197669982910e-01,6.272531151771545410e-01,2.400000000000000050e-02,-1.539999999999999980e-01,2.699999999999999969e-02,-4.000000000000000083e-03,-2.299999999999999961e-02,5.399999999999999939e-02
